########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

66560	0.08108
66688	1.47816
66816	0.148946
66944	0.0390143
67072	0.00640513
67200	0.00349265
67328	0.00175481
67456	0.0021
67584	0.00154269
67712	0.00131876
67840	0.000993517
67968	0.00111782
68096	0.0011664
68224	0.000945608
68352	0.000748392
68480	0.000717588
68608	0.000595162
68736	0.000630275
68864	0.000344885
68992	0.000515557
69120	0.000509402
69248	0.000388816
69376	0.000315394
69504	0.000354004
69632	0.000319212
69760	0.000328638
69888	0.000276514
70016	0.000278131
70144	0.000332195
70272	0.000257218
70400	0.000240382
70528	0.000207597
70656	0.000328864
70784	0.000216452
70912	0.000236876
71040	0.00024657
71168	0.000198861
71296	0.000203867
71424	0.000198201
71552	0.000179286
71680	0.000173131
71808	0.000164979
71936	0.000144517
72064	0.000168304
72192	0.000149448
72320	0.000172448
72448	0.000153823
72576	0.00013875
72704	0.000141869
72832	0.000131772
72960	0.000164529
73088	0.000144664
73216	0.000127184
73344	0.000135082
73472	0.000122853
73600	0.000113636
73728	0.000125932
73856	0.000122571
73984	0.000118417
74112	0.000112018
74240	0.000121092
74368	0.000108467
74496	9.91263e-05
74624	0.000111349
74752	0.000118388
74880	9.90576e-05
75008	0.000105014
75136	9.62311e-05
75264	9.73704e-05
75392	8.8616e-05
75520	9.01247e-05
75648	8.94327e-05
75776	9.80608e-05
75904	0.000104328
76032	9.14779e-05
76160	9.81292e-05
76288	9.07566e-05
76416	7.88925e-05
76544	8.38725e-05
76672	8.33646e-05
76800	9.18371e-05
76928	7.4998e-05
77056	8.6303e-05
77184	8.15557e-05
77312	7.62133e-05
77440	7.67718e-05
77568	7.63687e-05
77696	7.50912e-05
77824	6.95752e-05
77952	7.97966e-05
78080	6.68402e-05
78208	7.52672e-05
78336	6.46356e-05
78464	6.29628e-05
78592	6.2747e-05
78720	6.1169e-05
78848	6.35835e-05
78976	6.52851e-05
79104	6.21204e-05
79232	6.00576e-05
79360	5.81672e-05
79488	5.77197e-05
79616	5.38131e-05
79744	5.34826e-05
79872	5.1804e-05
80000	5.11034e-05
80128	5.51027e-05
80256	5.2181e-05
80384	5.25281e-05
80512	4.87065e-05
80640	4.56685e-05
80768	4.40003e-05
80896	4.73973e-05
