########

	Model: LSTM with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

125056	0.0998763
125184	0.106363
125312	0.109929
125440	0.105564
125568	0.100881
125696	0.10039
125824	0.100333
125952	0.100073
126080	0.099831
126208	0.0996601
126336	0.0995068
126464	0.0996729
126592	0.099513
126720	0.0992437
126848	0.0990861
126976	0.0992212
127104	0.0992306
127232	0.0999207
127360	0.100965
127488	0.102033
127616	0.101557
127744	0.0991622
127872	0.100538
128000	0.101292
128128	0.102524
128256	0.105948
128384	0.103022
128512	0.0998602
128640	0.0990916
128768	0.0987838
128896	0.0987154
129024	0.0984981
129152	0.0985439
129280	0.0983184
129408	0.0982436
129536	0.0981304
129664	0.0979873
129792	0.098039
129920	0.0979956
130048	0.0979443
130176	0.0976927
130304	0.0974384
130432	0.0978172
130560	0.100105
130688	0.103715
130816	0.147187
130944	0.163876
131072	0.106374
131200	0.102807
131328	0.102415
131456	0.101032
131584	0.100781
131712	0.100279
131840	0.10048
131968	0.0996825
132096	0.099766
132224	0.0993283
132352	0.0991735
132480	0.0992025
132608	0.099042
132736	0.0986422
132864	0.0987087
132992	0.0985815
133120	0.0984915
133248	0.0984114
133376	0.0982525
133504	0.0983275
133632	0.0983014
133760	0.0980817
133888	0.0979946
134016	0.0979198
134144	0.0978607
134272	0.0978197
134400	0.0976222
134528	0.09771
134656	0.0975851
134784	0.0974768
134912	0.0977331
135040	0.0975159
135168	0.0974609
135296	0.0977336
135424	0.0978007
135552	0.0985518
135680	0.097477
135808	0.0975114
135936	0.0973859
136064	0.0976625
136192	0.0975128
136320	0.0977451
136448	0.0975837
136576	0.0980968
136704	0.0975269
136832	0.0976633
136960	0.0972798
137088	0.0970766
137216	0.0971578
137344	0.0974161
137472	0.0971973
137600	0.0977166
137728	0.0970813
137856	0.0973335
137984	0.0969116
138112	0.0970099
138240	0.0967897
138368	0.0968165
138496	0.0966443
138624	0.0970196
138752	0.0966555
138880	0.097185
139008	0.0966746
139136	0.0969069
139264	0.0966393
139392	0.0970401
139520	0.0965414
139648	0.0964519
139776	0.0970554
139904	0.0990352
140032	0.679642
140160	0.10982
140288	0.0973248
140416	0.0971771
140544	0.097593
140672	0.0969101
140800	0.0967912
140928	0.0965266
141056	0.0963083
141184	0.0962423
141312	0.0962488
141440	0.096319
141568	0.0962063
141696	0.0962379
141824	0.0962548
141952	0.0964589
142080	0.0966243
142208	0.0991312
142336	0.102
142464	0.0972874
142592	0.0965104
142720	0.0965027
142848	0.0964891
142976	0.0963075
143104	0.0963729
143232	0.0963573
143360	0.0964678
143488	0.0962996
143616	0.0963454
143744	0.0962752
143872	0.0962164
144000	0.0964121
144128	0.0964888
144256	0.0973789
144384	0.0975596
144512	0.0971887
144640	0.0963551
144768	0.0961956
144896	0.0963147
145024	0.0960272
145152	0.0961841
145280	0.0962272
145408	0.0963122
145536	0.0966085
145664	0.0968312
145792	0.0972302
145920	0.0971494
146048	0.109912
146176	0.466871
146304	0.12766
146432	0.0996561
146560	0.0973817
146688	0.0971988
146816	0.0970805
146944	0.0970349
147072	0.0969086
147200	0.0968464
147328	0.096814
147456	0.0966481
147584	0.0966537
147712	0.0966836
147840	0.0965561
147968	0.0966612
148096	0.0964971
148224	0.0964631
148352	0.0965157
148480	0.0964907
148608	0.0965308
148736	0.0965505
148864	0.0964359
148992	0.0963592
149120	0.0963869
149248	0.0963808
149376	0.0962451
149504	0.0962915
149632	0.096273
149760	0.0963743
149888	0.0963122
150016	0.0961888
150144	0.096155
150272	0.0961868
150400	0.0962177
150528	0.096273
150656	0.0961301
150784	0.0961916
150912	0.0961199
151040	0.0962668
151168	0.0963889
