########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=20

########

88704	7.8789e-08
88832	6.38183e-08
88960	5.25497e-08
89088	4.49128e-08
89216	5.86033e-08
89344	5.45983e-08
89472	5.81376e-08
89600	1.03862e-07
89728	8.52616e-08
89856	6.73574e-08
89984	5.96742e-08
90112	4.92668e-08
90240	5.30151e-08
90368	6.08145e-08
90496	6.85447e-08
90624	5.49711e-08
90752	4.61935e-08
90880	4.75206e-08
91008	3.83704e-08
91136	4.33994e-08
91264	4.58675e-08
91392	3.77884e-08
91520	4.14903e-08
91648	8.87956e-08
91776	4.04892e-08
91904	6.59128e-08
92032	3.64379e-08
92160	4.42609e-08
92288	3.76952e-08
92416	3.92551e-08
92544	3.73458e-08
92672	3.25729e-08
92800	3.39233e-08
92928	2.59839e-08
93056	2.96626e-08
93184	5.91849e-08
93312	2.83354e-08
93440	4.75204e-08
93568	6.21171e-08
93696	4.14902e-08
93824	3.01981e-08
93952	3.24565e-08
94080	2.74972e-08
94208	2.35392e-08
94336	2.55647e-08
94464	2.4191e-08
94592	2.32597e-08
94720	6.33522e-08
94848	2.54484e-08
94976	1.72993e-08
95104	2.91736e-08
95232	2.46334e-08
95360	4.71694e-08
95488	2.19093e-08
95616	8.98599e-08
95744	1.98604e-08
95872	4.10246e-08
96000	2.19559e-08
96128	2.49127e-08
96256	3.24332e-08
96384	1.62981e-08
96512	2.88474e-08
96640	6.12299e-08
96768	1.86963e-08
96896	1.78813e-08
97024	4.85583e-07
97152	4.28636e-08
97280	4.90103e-08
97408	1.95112e-08
97536	2.42143e-08
97664	2.07685e-08
97792	2.41909e-08
97920	2.50525e-08
98048	2.45403e-08
98176	1.81608e-08
98304	1.31084e-08
98432	2.40281e-08
98560	2.20257e-08
98688	1.79977e-08
98816	3.00815e-08
98944	1.67638e-08
99072	3.21768e-08
99200	1.13854e-08
99328	1.36671e-08
99456	1.20373e-08
99584	2.82419e-08
99712	2.22585e-08
99840	1.5716e-08
99968	2.00933e-08
100096	1.7439e-08
100224	2.01165e-08
100352	1.82538e-08
100480	1.48546e-08
100608	1.22469e-08
100736	1.67638e-08
100864	2.83354e-08
100992	1.52737e-08
101120	1.77882e-08
101248	1.86031e-08
101376	1.82073e-08
101504	1.63912e-08
101632	1.4808e-08
101760	1.27824e-08
101888	1.16881e-08
102016	1.72992e-08
102144	2.04657e-08
102272	1.61817e-08
102400	1.64611e-08
102528	1.49011e-08
102656	1.57393e-08
102784	1.64378e-08
102912	1.52504e-08
103040	1.12457e-08
103168	9.28993e-09
103296	1.14087e-08
103424	1.70432e-08
103552	1.07568e-08
103680	1.17347e-08
103808	1.10827e-08
103936	1.10827e-08
104064	9.15024e-09
104192	1.15484e-08
104320	8.12579e-09
104448	7.24103e-09
104576	1.10129e-08
104704	8.49831e-09
104832	1.10361e-08
104960	8.17234e-09
105088	1.234e-08
105216	1.02445e-08
105344	1.89988e-08
105472	9.96514e-09
105600	1.12457e-08
105728	7.66012e-09
105856	7.82311e-09
105984	8.56816e-09
106112	7.35744e-09
106240	1.60885e-08
106368	7.70669e-09
106496	7.45058e-09
106624	7.96279e-09
106752	9.45292e-09
106880	6.65895e-09
107008	5.37839e-09
107136	7.93952e-09
107264	7.63684e-09
107392	9.42962e-09
107520	8.05592e-09
107648	1.15251e-08
107776	1.79509e-08
107904	8.40517e-09
108032	6.89178e-09
108160	7.35744e-09
108288	7.42728e-09
108416	6.10016e-09
108544	6.37956e-09
108672	1.1525e-08
108800	9.77886e-09
108928	3.74857e-09
109056	9.26664e-09
109184	5.82076e-09
109312	8.80098e-09
109440	6.7288e-09
109568	8.87078e-09
109696	2.2142e-08
109824	4.01147e-08
109952	5.0757e-09
110080	6.30971e-09
110208	5.16884e-09
110336	3.51574e-09
110464	5.23869e-09
110592	7.19445e-09
110720	6.21657e-09
110848	7.40399e-09
110976	4.70318e-09
111104	4.33065e-09
111232	1.08265e-08
111360	1.83003e-08
111488	5.49479e-09
111616	4.19095e-09
111744	1.43888e-08
111872	4.47034e-09
112000	4.63333e-09
112128	1.6531e-09
112256	6.40283e-09
112384	4.86615e-09
112512	3.28291e-09
112640	7.21773e-09
112768	1.90221e-08
112896	1.00815e-08
113024	3.72529e-09
113152	2.86382e-09
113280	3.72529e-09
113408	3.56231e-09
113536	5.19212e-09
113664	5.26197e-09
113792	6.54253e-09
113920	7.05473e-09
114048	1.01747e-08
114176	4.91272e-09
114304	3.81842e-09
114432	3.0268e-09
114560	7.38069e-09
114688	7.72993e-09
114816	8.77769e-09
114944	9.73222e-09
115072	4.67989e-09
115200	8.61469e-09
115328	5.56465e-09
115456	4.63333e-09
115584	2.98023e-09
115712	4.67989e-09
115840	6.12344e-09
115968	2.14204e-09
116096	4.84287e-09
116224	4.81958e-09
116352	3.702e-09
116480	7.49709e-09
116608	3.39933e-09
116736	4.86614e-09
116864	4.35393e-09
116992	3.30619e-09
117120	2.468e-09
117248	3.07336e-09
117376	3.702e-09
117504	5.28525e-09
117632	1.95578e-09
117760	5.86731e-09
117888	3.11993e-09
118016	2.30502e-09
118144	9.96504e-09
118272	3.91155e-09
118400	1.93249e-09
118528	2.16532e-09
118656	2.93366e-09
118784	1.3737e-09
118912	2.14204e-09
119040	2.14204e-09
119168	1.7928e-09
119296	2.98023e-09
119424	4.00468e-09
119552	3.39932e-09
119680	2.56114e-09
119808	2.32831e-09
119936	2.42144e-09
120064	5.21537e-09
120192	1.58325e-09
120320	2.11876e-09
120448	1.7928e-09
120576	2.6077e-09
120704	3.07336e-09
120832	2.49129e-09
120960	2.09548e-09
121088	2.14204e-09
121216	7.72992e-09
121344	3.91155e-09
121472	2.09547e-09
121600	6.05356e-09
121728	2.07219e-09
121856	2.6077e-09
121984	1.83936e-09
122112	1.7928e-09
122240	3.46917e-09
122368	1.69966e-09
122496	1.69966e-09
122624	2.468e-09
122752	1.81608e-09
122880	2.28174e-09
123008	1.7928e-09
123136	2.91038e-09
123264	1.25728e-09
123392	2.20945e-08
123520	1.86264e-09
123648	2.70083e-09
123776	2.51457e-09
123904	1.55996e-09
124032	2.39815e-09
124160	2.51457e-09
124288	2.84053e-09
124416	1.53668e-09
124544	6.05356e-09
124672	1.86264e-09
124800	1.74623e-09
124928	2.65427e-09
125056	1.79279e-09
125184	1.83936e-09
125312	1.234e-09
125440	1.53432e-08
125568	2.6077e-09
125696	4.35393e-09
125824	1.53668e-09
125952	2.35159e-09
126080	1.83936e-09
126208	2.16532e-09
126336	2.84053e-09
126464	2.09548e-09
126592	1.02445e-09
126720	1.39698e-09
126848	2.51457e-09
126976	1.04774e-09
127104	1.53668e-09
127232	2.8871e-09
127360	1.25729e-09
127488	8.3819e-10
127616	1.46683e-09
127744	1.21072e-09
127872	3.60887e-09
128000	1.55996e-09
128128	1.97906e-09
128256	1.11759e-09
128384	2.25845e-09
128512	1.3737e-09
128640	1.0943e-09
128768	1.04774e-09
128896	1.88593e-09
129024	2.07219e-09
129152	3.11992e-09
129280	1.21072e-09
129408	2.7474e-09
129536	2.53785e-09
129664	2.21189e-09
129792	1.18744e-09
129920	1.00117e-09
130048	1.0943e-09
130176	1.49012e-09
130304	2.8871e-09
130432	1.07102e-09
130560	2.04891e-09
130688	1.5134e-09
130816	4.79628e-09
130944	2.39815e-09
131072	1.16415e-09
131200	2.28174e-09
131328	1.55996e-09
131456	1.5134e-09
131584	9.77889e-10
131712	1.39698e-09
131840	8.61473e-10
131968	7.21775e-10
132096	6.0536e-10
132224	1.55996e-09
132352	1.67638e-09
132480	4.26079e-09
132608	1.04774e-09
132736	6.75209e-10
132864	1.53668e-09
132992	1.25729e-09
133120	1.25729e-09
133248	3.44588e-09
133376	1.00117e-09
133504	5.58793e-10
133632	6.51926e-10
133760	1.76951e-09
133888	9.77888e-10
134016	2.00234e-09
134144	2.14204e-09
134272	7.21775e-10
134400	9.77889e-10
134528	6.98492e-10
134656	6.98492e-10
134784	5.82077e-10
134912	1.83936e-09
135040	1.16415e-09
135168	1.3737e-09
135296	4.44703e-09
135424	2.468e-09
135552	1.0943e-09
135680	1.88593e-09
135808	8.14907e-10
135936	6.51926e-10
136064	1.18744e-09
136192	4.19095e-10
136320	1.04774e-09
136448	1.86264e-09
136576	1.11759e-09
136704	1.39698e-09
136832	9.77889e-10
136960	1.25728e-09
137088	4.88944e-10
137216	5.12227e-10
137344	1.53668e-09
137472	4.42378e-10
137600	8.61473e-10
137728	7.45058e-10
137856	1.07102e-09
137984	4.42378e-10
138112	7.45058e-10
