########

	Model: BasicRNN with 8090 parameters on

#Task:
# Copying Task with T=100

########

71168	0.352694
71296	0.296238
71424	0.265033
71552	0.267171
71680	0.312652
71808	0.472158
71936	0.375970
72064	0.336472
72192	0.303944
72320	0.329570
72448	0.269134
72576	0.262044
72704	0.259660
72832	0.254951
72960	0.251886
73088	0.249586
73216	0.245622
73344	0.246963
73472	0.240766
73600	0.248214
73728	0.279056
73856	0.689148
73984	0.478590
74112	0.291082
74240	0.293276
74368	0.312827
74496	0.299289
74624	0.326284
74752	0.474569
74880	0.271453
75008	0.258439
75136	0.255211
75264	0.253127
75392	0.249164
75520	0.247276
75648	0.247675
75776	0.246479
75904	0.242636
76032	0.242915
76160	0.243076
76288	0.241107
76416	0.237573
76544	0.235547
76672	0.235316
76800	0.241339
76928	0.255048
77056	0.354402
77184	0.870346
77312	0.472508
77440	0.286511
77568	0.266741
77696	0.261201
77824	0.248614
77952	0.245669
78080	0.242396
78208	0.241004
78336	0.239663
78464	0.237484
78592	0.234660
78720	0.233667
78848	0.232951
78976	0.229998
79104	0.229104
79232	0.227620
79360	0.230943
79488	0.271233
79616	0.711754
79744	0.501766
79872	0.307333
80000	0.264037
80128	0.256864
80256	0.252370
80384	0.246705
80512	0.242739
80640	0.242599
80768	0.239230
80896	0.237443
81024	0.233679
81152	0.232652
81280	0.232736
81408	0.230872
81536	0.229864
81664	0.228539
81792	0.228521
81920	0.230074
82048	0.233157
82176	0.234481
82304	0.233867
82432	0.238323
82560	0.231850
82688	0.225575
82816	0.222724
82944	0.220219
83072	0.222403
83200	0.219637
83328	0.220739
83456	0.223850
83584	0.223024
83712	0.225459
83840	0.268272
83968	0.721943
84096	0.343992
84224	0.326568
84352	0.664930
84480	0.573969
84608	0.467687
84736	0.455906
84864	0.442406
84992	0.320539
85120	0.277595
85248	0.265557
85376	0.268816
85504	0.256726
85632	0.271307
85760	0.236901
85888	0.233732
86016	0.229929
86144	0.227396
86272	0.226979
86400	0.225471
86528	0.225491
86656	0.225755
86784	0.222976
86912	0.223805
87040	0.221629
87168	0.221351
87296	0.220144
87424	0.219437
87552	0.218863
87680	0.217515
87808	0.217475
87936	0.217996
88064	0.221654
88192	0.229331
88320	0.292011
88448	0.413621
88576	0.320422
88704	0.302723
88832	0.546572
88960	0.407385
89088	0.398185
89216	0.431573
89344	0.408514
89472	0.419587
89600	0.366254
89728	0.368075
89856	0.315563
89984	0.334948
90112	0.643342
90240	0.373541
90368	0.385025
90496	0.377751
90624	0.326370
90752	0.328830
90880	0.366855
91008	0.325498
91136	0.300154
91264	0.262684
91392	0.248304
91520	0.252080
91648	0.221730
91776	0.225430
91904	0.213315
92032	0.214370
92160	0.211696
92288	0.226521
92416	0.521448
92544	0.232542
92672	0.216190
92800	0.216286
92928	0.215378
93056	0.211796
93184	0.213396
93312	0.218665
93440	0.214399
93568	0.213655
93696	0.212504
93824	0.211929
93952	0.212252
94080	0.210245
94208	0.210266
94336	0.208647
94464	0.209308
94592	0.225942
94720	0.216496
94848	0.213356
94976	0.211598
95104	0.210241
95232	0.222248
95360	0.358598
95488	1.385526
