########

	Model: URNN with 6155 parameters on

#Task:
# Copying Task with T=100

########

120832	0.213017
120960	0.199440
121088	0.201955
121216	0.203722
121344	0.214185
121472	0.214968
121600	0.236478
121728	0.210472
121856	0.219990
121984	0.245879
122112	0.265454
122240	0.192144
122368	0.213085
122496	0.193499
122624	0.178226
122752	0.169638
122880	0.203137
123008	0.188673
123136	0.192447
123264	0.182114
123392	0.180957
123520	0.183464
123648	0.191986
123776	0.197891
123904	0.171033
124032	0.160345
124160	0.185063
124288	0.186125
124416	0.183592
124544	0.244971
124672	0.243482
124800	0.263657
124928	0.192556
125056	0.160857
125184	0.162517
125312	0.157838
125440	0.148433
125568	0.165846
125696	0.163007
125824	0.156817
125952	0.162691
126080	0.178241
126208	0.154705
126336	0.170635
126464	0.156496
126592	0.154643
126720	0.192651
126848	0.228532
126976	0.284720
127104	0.166074
127232	0.159660
127360	0.144420
127488	0.144368
127616	0.149350
127744	0.154487
127872	0.151863
128000	0.157688
128128	0.139462
128256	0.155687
128384	0.143620
128512	0.170064
128640	0.156313
128768	0.147325
128896	0.156443
129024	0.154462
129152	0.156246
129280	0.187187
129408	0.168197
129536	0.191803
129664	0.161674
129792	0.176323
129920	0.139729
130048	0.148213
130176	0.140887
130304	0.134294
130432	0.139694
130560	0.135521
130688	0.148819
130816	0.124234
130944	0.152800
131072	0.145686
131200	0.177232
131328	0.160321
131456	0.197888
131584	0.155541
131712	0.130016
131840	0.116831
131968	0.121146
132096	0.121498
132224	0.115044
132352	0.115263
132480	0.107690
132608	0.103504
132736	0.137091
132864	0.139742
132992	0.164710
133120	0.152090
133248	0.148879
133376	0.132108
133504	0.125354
133632	0.129390
133760	0.119657
133888	0.109449
134016	0.106353
134144	0.118974
134272	0.109507
134400	0.125458
134528	0.123361
134656	0.134163
134784	0.200889
134912	0.247354
135040	0.125041
135168	0.105008
135296	0.101485
135424	0.104879
135552	0.101994
135680	0.097581
135808	0.109101
135936	0.091654
136064	0.105330
136192	0.094728
136320	0.119164
136448	0.121081
136576	0.138694
136704	0.130185
136832	0.136740
136960	0.103465
137088	0.103408
137216	0.102570
137344	0.102274
137472	0.089113
137600	0.097942
137728	0.097825
137856	0.112954
137984	0.100522
138112	0.090414
138240	0.095463
138368	0.134850
138496	0.225475
138624	0.182708
138752	0.150817
138880	0.107186
139008	0.083812
139136	0.082265
139264	0.102867
139392	0.095653
139520	0.101147
139648	0.117772
139776	0.094524
139904	0.094081
140032	0.098630
140160	0.122717
140288	0.086721
140416	0.078431
140544	0.086254
140672	0.090289
140800	0.084673
140928	0.097410
141056	0.105374
141184	0.163830
141312	0.220615
141440	0.147191
141568	0.106199
141696	0.081749
141824	0.082747
141952	0.087479
142080	0.092187
142208	0.079537
142336	0.082051
142464	0.073480
142592	0.075614
142720	0.080375
142848	0.076853
142976	0.075402
143104	0.066531
143232	0.074669
143360	0.088210
143488	0.198538
143616	0.289546
143744	0.276643
143872	0.088290
144000	0.076618
144128	0.081856
144256	0.072560
144384	0.078914
144512	0.075555
144640	0.068664
144768	0.071156
144896	0.075486
145024	0.068838
145152	0.068578
145280	0.069430
145408	0.069200
145536	0.071344
145664	0.079069
145792	0.080091
145920	0.079025
146048	0.075982
146176	0.076549
146304	0.091800
146432	0.095628
146560	0.101380
146688	0.148894
146816	0.204848
146944	0.291340
147072	0.140329
147200	0.080648
147328	0.081629
147456	0.068793
147584	0.072164
147712	0.073836
147840	0.065632
147968	0.077197
148096	0.070998
148224	0.064566
148352	0.074620
148480	0.069138
148608	0.063534
148736	0.071266
148864	0.064751
148992	0.069781
149120	0.061568
149248	0.062543
149376	0.063915
149504	0.061436
149632	0.081831
149760	0.166196
149888	0.414229
150016	0.162900
150144	0.078802
150272	0.062969
150400	0.074000
150528	0.068993
150656	0.075608
150784	0.069164
150912	0.065001
151040	0.065262
151168	0.066826
151296	0.055845
151424	0.069837
151552	0.061873
151680	0.073078
151808	0.064366
151936	0.059457
152064	0.060471
152192	0.063623
152320	0.060787
152448	0.065461
152576	0.063692
152704	0.060002
