########

	Model: LSTM with 8570 parameters on

#Task:
# Copying Task with T=100

########

82048	0.273648
82176	0.359444
82304	0.247393
82432	0.241619
82560	0.240722
82688	0.261763
82816	0.327247
82944	0.428033
83072	0.267628
83200	0.249412
83328	0.243973
83456	0.244185
83584	0.267862
83712	0.291068
83840	0.371873
83968	0.251046
84096	0.244901
84224	0.251177
84352	0.269655
84480	0.342899
84608	0.244089
84736	0.242028
84864	0.252434
84992	0.316048
85120	0.262527
85248	0.313651
85376	0.248250
85504	0.257441
85632	0.269536
85760	0.345101
85888	0.248646
86016	0.242976
86144	0.247594
86272	0.294377
86400	0.279029
86528	0.348755
86656	0.249587
86784	0.239865
86912	0.235003
87040	0.234186
87168	0.255721
87296	0.377219
87424	0.259533
87552	0.294239
87680	0.245561
87808	0.255312
87936	0.269446
88064	0.348508
88192	0.246304
88320	0.238171
88448	0.233927
88576	0.243045
88704	0.297512
88832	0.427148
88960	0.250608
89088	0.241932
89216	0.240472
89344	0.248828
89472	0.301495
89600	0.254061
89728	0.299319
89856	0.246633
89984	0.265298
90112	0.265153
90240	0.328384
90368	0.243865
90496	0.238663
90624	0.242218
90752	0.285269
90880	0.284200
91008	0.360766
91136	0.249624
91264	0.238622
91392	0.232991
91520	0.230686
91648	0.235531
91776	0.286013
91904	0.430926
92032	0.242120
92160	0.235963
92288	0.233130
92416	0.236219
92544	0.269650
92672	0.302058
92800	0.390909
92928	0.251507
93056	0.239382
93184	0.236500
93312	0.239636
93440	0.271024
93568	0.277832
93696	0.353479
93824	0.240340
93952	0.234013
94080	0.231351
94208	0.235758
94336	0.279177
94464	0.296141
94592	0.377645
94720	0.247220
94848	0.237198
94976	0.233437
95104	0.235659
95232	0.261923
95360	0.288396
95488	0.371969
95616	0.241048
95744	0.233866
95872	0.231704
96000	0.235758
96128	0.272208
96256	0.290071
96384	0.371360
96512	0.242607
96640	0.234410
96768	0.231367
96896	0.234908
97024	0.265871
97152	0.286667
97280	0.365889
97408	0.239599
97536	0.232329
97664	0.228879
97792	0.229941
97920	0.248083
98048	0.300216
98176	0.395859
98304	0.241205
98432	0.233762
98560	0.231873
98688	0.237084
98816	0.274547
98944	0.271029
99072	0.335333
99200	0.234208
99328	0.228830
99456	0.226421
99584	0.229975
99712	0.255771
99840	0.356874
99968	0.240060
100096	0.257239
100224	0.258463
100352	0.312775
100480	0.236643
100608	0.237155
100736	0.246135
100864	0.298944
100992	0.249478
101120	0.279649
101248	0.246485
101376	0.268133
101504	0.249645
101632	0.280251
101760	0.247925
101888	0.264943
102016	0.248453
102144	0.275366
102272	0.252851
102400	0.274790
102528	0.249158
102656	0.263880
102784	0.247857
102912	0.268926
103040	0.255758
103168	0.280475
103296	0.251686
103424	0.256319
103552	0.242506
103680	0.258492
103808	0.257565
103936	0.297900
104064	0.259535
104192	0.250689
104320	0.233951
104448	0.236294
104576	0.245659
104704	0.309249
104832	0.284072
104960	0.292243
105088	0.246255
105216	0.230017
105344	0.224490
105472	0.222316
105600	0.224035
105728	0.247420
105856	0.321163
105984	0.436929
106112	0.239533
106240	0.229518
106368	0.225231
106496	0.222452
106624	0.220701
106752	0.219718
106880	0.221979
107008	0.241426
107136	0.310134
107264	0.437160
107392	0.232710
107520	0.226411
107648	0.223560
107776	0.221998
107904	0.223108
108032	0.232339
108160	0.258740
108288	0.347043
108416	0.255505
108544	0.266232
108672	0.233250
108800	0.231300
108928	0.229898
109056	0.246401
109184	0.256114
109312	0.311975
109440	0.251473
109568	0.254447
109696	0.233253
109824	0.235773
109952	0.236695
110080	0.266886
110208	0.261534
110336	0.300375
110464	0.245334
110592	0.237855
110720	0.229017
110848	0.234404
110976	0.243690
111104	0.295365
111232	0.265739
111360	0.280826
111488	0.238689
111616	0.228479
111744	0.224800
111872	0.229588
112000	0.242509
112128	0.312454
112256	0.281662
112384	0.294292
112512	0.240067
112640	0.226028
112768	0.221722
112896	0.220004
113024	0.222078
113152	0.244920
113280	0.289075
113408	0.394056
113536	0.241102
113664	0.228510
113792	0.222798
113920	0.220700
114048	0.219775
114176	0.224667
114304	0.243118
114432	0.319731
114560	0.277994
114688	0.301471
114816	0.236033
114944	0.224868
115072	0.220725
115200	0.219128
115328	0.219625
115456	0.232071
115584	0.265624
115712	0.371229
115840	0.248646
115968	0.244798
116096	0.227144
116224	0.225611
116352	0.225344
116480	0.238186
116608	0.250011
116736	0.307499
116864	0.255174
116992	0.261640
117120	0.231697
117248	0.228481
117376	0.226500
117504	0.239730
117632	0.250228
117760	0.307054
117888	0.254831
118016	0.253667
118144	0.230269
118272	0.226961
118400	0.225580
118528	0.239490
118656	0.257019
118784	0.324909
118912	0.252124
119040	0.241441
119168	0.225303
119296	0.223025
119424	0.223853
119552	0.239978
119680	0.258295
119808	0.326008
119936	0.250935
120064	0.239921
120192	0.225155
120320	0.222697
120448	0.223486
120576	0.240184
120704	0.258692
120832	0.325139
120960	0.250193
121088	0.240691
121216	0.224799
121344	0.221771
121472	0.221491
121600	0.233186
121728	0.251206
121856	0.321857
121984	0.259161
122112	0.256117
122240	0.228259
122368	0.222304
122496	0.219995
122624	0.225050
122752	0.235320
122880	0.286395
123008	0.275767
123136	0.297464
123264	0.238842
123392	0.222802
123520	0.217943
123648	0.215840
123776	0.216582
123904	0.226177
124032	0.253227
124160	0.348998
124288	0.262095
124416	0.258139
124544	0.226712
124672	0.219808
124800	0.216970
124928	0.217174
125056	0.220422
125184	0.241940
125312	0.276364
125440	0.360299
125568	0.240601
125696	0.226372
125824	0.218694
125952	0.215855
126080	0.215124
126208	0.217502
126336	0.227969
126464	0.275974
126592	0.290961
126720	0.337344
126848	0.234745
126976	0.220836
127104	0.216549
127232	0.213771
127360	0.212474
127488	0.211471
127616	0.212197
127744	0.219595
127872	0.254389
128000	0.378637
128128	0.258336
128256	0.260577
128384	0.225488
128512	0.220012
128640	0.216771
128768	0.218324
128896	0.222900
129024	0.250385
129152	0.266426
129280	0.321885
129408	0.239420
129536	0.227288
129664	0.218685
129792	0.217452
129920	0.217391
130048	0.227163
130176	0.244604
130304	0.306812
130432	0.255847
130560	0.258896
130688	0.227390
130816	0.220165
130944	0.216615
131072	0.219146
131200	0.224905
131328	0.256749
131456	0.273187
131584	0.322118
131712	0.240041
131840	0.222029
131968	0.215762
132096	0.213569
132224	0.212446
132352	0.215158
132480	0.226006
132608	0.278062
132736	0.292535
132864	0.329019
132992	0.234977
133120	0.219000
133248	0.214639
133376	0.212197
133504	0.210596
133632	0.209987
133760	0.210379
133888	0.215330
134016	0.236673
134144	0.332006
134272	0.292907
134400	0.305264
134528	0.229979
134656	0.217649
134784	0.213726
134912	0.211552
135040	0.210332
135168	0.209583
135296	0.210287
135424	0.217498
135552	0.249154
135680	0.361855
135808	0.256544
135936	0.257768
136064	0.223578
136192	0.217650
136320	0.214224
136448	0.214891
136576	0.217306
136704	0.232128
136832	0.251850
136960	0.316091
137088	0.247754
137216	0.241411
137344	0.221612
137472	0.217475
137600	0.214790
137728	0.217623
137856	0.225211
137984	0.260699
138112	0.269381
138240	0.307253
138368	0.236831
138496	0.220407
138624	0.214098
138752	0.211960
138880	0.210750
139008	0.213261
139136	0.221735
139264	0.261451
139392	0.291721
139520	0.341148
139648	0.233329
139776	0.217498
139904	0.212642
140032	0.210476
140160	0.209087
140288	0.208780
140416	0.209663
140544	0.215601
140672	0.240806
140800	0.334851
140928	0.269977
141056	0.274098
141184	0.225574
141312	0.215662
141440	0.211845
141568	0.210504
141696	0.210120
141824	0.213138
141952	0.222992
142080	0.267759
142208	0.288571
142336	0.327058
142464	0.232564
142592	0.216465
142720	0.212131
142848	0.209724
142976	0.208485
143104	0.207478
143232	0.207930
143360	0.212065
143488	0.230092
143616	0.309141
143744	0.295801
143872	0.312111
144000	0.227692
144128	0.214847
144256	0.211061
144384	0.209507
144512	0.208023
144640	0.207213
144768	0.207110
144896	0.209901
145024	0.224793
145152	0.290539
145280	0.306410
145408	0.330275
145536	0.227428
145664	0.214678
145792	0.211141
145920	0.209423
146048	0.207861
146176	0.206832
146304	0.205932
146432	0.206262
146560	0.207742
146688	0.220409
146816	0.274254
146944	0.401653
147072	0.233025
147200	0.224379
147328	0.213832
147456	0.211847
147584	0.210550
147712	0.211781
147840	0.215008
147968	0.231148
148096	0.252991
148224	0.309311
148352	0.243875
148480	0.237268
148608	0.218886
148736	0.214917
148864	0.212069
148992	0.213392
149120	0.216583
149248	0.234575
149376	0.252852
149504	0.303365
149632	0.244778
149760	0.233554
149888	0.217110
150016	0.213377
150144	0.211294
150272	0.214105
150400	0.218331
150528	0.238924
150656	0.259535
150784	0.310668
150912	0.241127
151040	0.223439
151168	0.212719
151296	0.209996
151424	0.208666
151552	0.209539
151680	0.212930
151808	0.229876
151936	0.262445
152064	0.337871
152192	0.243989
152320	0.224559
152448	0.212671
152576	0.209469
152704	0.207850
152832	0.207593
152960	0.208716
153088	0.215720
153216	0.236171
153344	0.307197
153472	0.271171
153600	0.268841
153728	0.224965
153856	0.212741
153984	0.208763
154112	0.207122
154240	0.206293
154368	0.206165
154496	0.208742
154624	0.223328
154752	0.266571
154880	0.366142
155008	0.240529
155136	0.222911
155264	0.211198
155392	0.208156
155520	0.206463
155648	0.205551
155776	0.205525
155904	0.208626
156032	0.218707
156160	0.261180
156288	0.300879
156416	0.337267
156544	0.227857
156672	0.212118
156800	0.208435
156928	0.206430
157056	0.205514
157184	0.204315
157312	0.203949
157440	0.203282
157568	0.203258
157696	0.205612
157824	0.218302
157952	0.286877
158080	0.348009
158208	0.343938
158336	0.223777
158464	0.211386
158592	0.208401
158720	0.206815
158848	0.205535
158976	0.204597
159104	0.203757
159232	0.203287
159360	0.202530
159488	0.202020
159616	0.201855
159744	0.203376
159872	0.212728
160000	0.275770
160128	0.396141
160256	0.354446
160384	0.220271
160512	0.209660
160640	0.207298
160768	0.205887
