########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

95744.0	0.000923035
95872.0	5.20455e-05
96000.0	5.29021e-05
96128.0	4.7126e-05
96256.0	4.9553e-05
96384.0	4.74633e-05
96512.0	3.95307e-05
96640.0	4.86035e-05
96768.0	4.30579e-05
96896.0	4.71497e-05
97024.0	4.56578e-05
97152.0	3.98791e-05
97280.0	4.28768e-05
97408.0	3.35635e-05
97536.0	3.67478e-05
97664.0	3.46117e-05
97792.0	3.8186e-05
97920.0	3.30205e-05
98048.0	3.20006e-05
98176.0	4.44518e-05
98304.0	3.39586e-05
98432.0	4.28205e-05
98560.0	4.20697e-05
98688.0	4.43407e-05
98816.0	5.18105e-05
98944.0	3.34491e-05
99072.0	3.20989e-05
99200.0	3.45214e-05
99328.0	4.42778e-05
99456.0	3.01752e-05
99584.0	2.67935e-05
99712.0	3.1909e-05
99840.0	2.99518e-05
99968.0	3.55437e-05
100096.0	3.79681e-05
100224.0	2.79958e-05
100352.0	2.70949e-05
100480.0	2.56137e-05
100608.0	3.67467e-05
100736.0	3.21457e-05
100864.0	3.23627e-05
100992.0	2.82156e-05
101120.0	4.87986e-05
101248.0	3.99647e-05
101376.0	3.39404e-05
101504.0	5.17721e-05
101632.0	3.01898e-05
101760.0	2.90471e-05
101888.0	2.64855e-05
102016.0	2.26064e-05
102144.0	2.9989e-05
102272.0	2.96217e-05
102400.0	3.16657e-05
102528.0	2.45611e-05
102656.0	2.9492e-05
102784.0	2.63932e-05
102912.0	2.91788e-05
103040.0	2.47803e-05
103168.0	2.59066e-05
103296.0	3.13992e-05
103424.0	2.64071e-05
103552.0	2.32222e-05
103680.0	2.30625e-05
103808.0	2.52969e-05
103936.0	2.53994e-05
104064.0	2.12651e-05
104192.0	1.99859e-05
104320.0	2.00369e-05
104448.0	1.97432e-05
104576.0	2.35851e-05
104704.0	2.31347e-05
104832.0	2.16368e-05
104960.0	2.15537e-05
105088.0	1.63698e-05
105216.0	2.07156e-05
105344.0	1.88871e-05
105472.0	1.88651e-05
105600.0	1.7916e-05
105728.0	2.67325e-05
105856.0	8.76032e-05
105984.0	0.00503494
106112.0	0.00292222
106240.0	0.000627035
106368.0	4.56222e-05
106496.0	4.1587e-05
106624.0	4.02155e-05
106752.0	3.72794e-05
106880.0	5.694e-05
107008.0	3.35765e-05
107136.0	2.84345e-05
107264.0	2.89431e-05
107392.0	3.35031e-05
107520.0	2.68623e-05
107648.0	3.49756e-05
107776.0	2.98127e-05
107904.0	2.64351e-05
108032.0	2.96995e-05
108160.0	3.14097e-05
108288.0	2.28663e-05
108416.0	3.04699e-05
108544.0	2.92855e-05
108672.0	2.67522e-05
