########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

90112.0	0.0201074
90240.0	0.0204963
90368.0	0.0204919
90496.0	0.020311
90624.0	0.0205472
90752.0	0.0203725
90880.0	0.0202169
91008.0	0.020336
91136.0	0.020013
91264.0	0.0200401
91392.0	0.0202813
91520.0	0.0203292
91648.0	0.0199227
91776.0	0.0213053
91904.0	0.0202869
92032.0	0.0208055
92160.0	0.020411
92288.0	0.0203892
92416.0	0.0204349
92544.0	0.0204535
92672.0	0.0204691
92800.0	0.0203933
92928.0	0.0204236
93056.0	0.020432
93184.0	0.0204235
93312.0	0.0204202
93440.0	0.0204072
93568.0	0.0203988
93696.0	0.0204506
93824.0	0.0204232
93952.0	0.0204001
94080.0	0.0204207
94208.0	0.0204204
94336.0	0.0204172
94464.0	0.020406
94592.0	0.0204455
94720.0	0.020403
94848.0	0.0203991
94976.0	0.0204219
95104.0	0.0204058
95232.0	0.0204138
95360.0	0.0204232
95488.0	0.0203937
95616.0	0.0203853
95744.0	0.0204161
95872.0	0.0204105
96000.0	0.0203818
96128.0	0.020387
96256.0	0.020383
96384.0	0.0204967
96512.0	0.0204294
96640.0	0.0204299
96768.0	0.0204148
96896.0	0.0204365
97024.0	0.0203867
97152.0	0.0205002
97280.0	0.0204301
97408.0	0.0204062
97536.0	0.0204224
97664.0	0.0203999
97792.0	0.0203325
97920.0	0.0209307
98048.0	0.0204511
98176.0	0.0204246
98304.0	0.020431
98432.0	0.0204372
98560.0	0.0204067
98688.0	0.0203912
98816.0	0.0204361
98944.0	0.0204568
99072.0	0.0203874
99200.0	0.0203839
99328.0	0.0204172
99456.0	0.0204273
99584.0	0.020428
99712.0	0.0204301
99840.0	0.0204299
99968.0	0.0203971
100096.0	0.0204231
100224.0	0.0203814
100352.0	0.0204333
100480.0	0.0204021
100608.0	0.0204238
100736.0	0.0204156
100864.0	0.0204012
100992.0	0.0204062
101120.0	0.0203913
101248.0	0.0203935
101376.0	0.0204078
101504.0	0.0204457
101632.0	0.0204061
101760.0	0.0204011
101888.0	0.0204506
102016.0	0.0204197
102144.0	0.0204349
102272.0	0.0203986
102400.0	0.0204189
102528.0	0.0203857
102656.0	0.0204103
102784.0	0.0204507
102912.0	0.0204127
103040.0	0.0204244
103168.0	0.0204004
103296.0	0.020405
103424.0	0.0204164
103552.0	0.0204256
103680.0	0.0204418
103808.0	0.0204339
103936.0	0.0204209
104064.0	0.0203451
104192.0	0.0202982
104320.0	0.0208557
104448.0	0.0203967
104576.0	0.0203998
104704.0	0.0204534
104832.0	0.0204538
104960.0	0.0204239
105088.0	0.020401
105216.0	0.0204167
105344.0	0.0203831
105472.0	0.0204283
105600.0	0.0204138
105728.0	0.0204084
105856.0	0.0203975
105984.0	0.0204204
106112.0	0.0204049
106240.0	0.0204187
106368.0	0.0203742
106496.0	0.0204218
106624.0	0.0204185
106752.0	0.0204598
106880.0	0.0204215
107008.0	0.0204221
107136.0	0.0204347
107264.0	0.0203778
107392.0	0.0204031
107520.0	0.0204694
107648.0	0.0204019
107776.0	0.0204135
107904.0	0.0204431
108032.0	0.0204269
108160.0	0.0204018
108288.0	0.0204048
108416.0	0.0204097
108544.0	0.0204207
108672.0	0.0204252
108800.0	0.0204261
108928.0	0.0204557
109056.0	0.0204144
109184.0	0.0204238
109312.0	0.0204194
109440.0	0.0203971
109568.0	0.0204447
109696.0	0.0204208
109824.0	0.0204115
109952.0	0.0204077
110080.0	0.0204095
110208.0	0.0204061
110336.0	0.0204092
110464.0	0.0203908
110592.0	0.0204154
110720.0	0.020421
110848.0	0.020414
110976.0	0.0204025
111104.0	0.0204042
111232.0	0.0203894
111360.0	0.0204113
111488.0	0.0204179
111616.0	0.0204176
111744.0	0.0203958
111872.0	0.020413
112000.0	0.0204388
112128.0	0.0204257
112256.0	0.0203709
112384.0	0.020423
112512.0	0.0204278
112640.0	0.0203845
112768.0	0.0204468
112896.0	0.0204119
113024.0	0.020403
113152.0	0.020392
113280.0	0.0204103
113408.0	0.0204279
113536.0	0.0204089
113664.0	0.0204137
113792.0	0.0204565
113920.0	0.0204173
114048.0	0.020385
114176.0	0.0204111
114304.0	0.0203722
114432.0	0.0204213
114560.0	0.0203947
114688.0	0.0204115
114816.0	0.0204192
114944.0	0.0204264
115072.0	0.0204099
115200.0	0.0204455
115328.0	0.0204079
115456.0	0.0203906
115584.0	0.0204296
115712.0	0.0204096
115840.0	0.0204061
115968.0	0.0204052
116096.0	0.0204064
116224.0	0.0204285
116352.0	0.0204242
116480.0	0.0204167
116608.0	0.0204255
116736.0	0.0204059
116864.0	0.0204287
116992.0	0.0204218
117120.0	0.0204024
117248.0	0.0204019
117376.0	0.0204253
117504.0	0.0203996
117632.0	0.0204101
117760.0	0.0204311
117888.0	0.020418
118016.0	0.0204453
118144.0	0.0203862
118272.0	0.0203873
118400.0	0.020406
118528.0	0.0203883
118656.0	0.0204559
118784.0	0.0204411
118912.0	0.0203969
119040.0	0.0204646
119168.0	0.0203971
119296.0	0.0204254
119424.0	0.0204148
119552.0	0.0203955
119680.0	0.0204394
119808.0	0.0204168
119936.0	0.0203949
120064.0	0.0204064
120192.0	0.0204136
120320.0	0.0204054
120448.0	0.0203787
120576.0	0.0204365
120704.0	0.0204143
120832.0	0.0204179
120960.0	0.0204045
121088.0	0.0203793
121216.0	0.0204101
121344.0	0.0204826
121472.0	0.02039
121600.0	0.0204173
121728.0	0.0204027
121856.0	0.0204145
121984.0	0.0204319
122112.0	0.0203954
122240.0	0.0203997
122368.0	0.0204333
122496.0	0.0204265
122624.0	0.0204294
122752.0	0.0204129
122880.0	0.0204027
123008.0	0.0203964
123136.0	0.020398
123264.0	0.0204124
123392.0	0.0204317
123520.0	0.0203911
123648.0	0.0204191
123776.0	0.0204234
123904.0	0.0203762
124032.0	0.0204404
124160.0	0.0204008
124288.0	0.0203999
124416.0	0.0204237
124544.0	0.020393
124672.0	0.0204848
124800.0	0.0203825
124928.0	0.0203901
125056.0	0.020434
125184.0	0.0204395
125312.0	0.0203967
125440.0	0.0204495
125568.0	0.020384
125696.0	0.0203861
125824.0	0.0204228
125952.0	0.0204595
126080.0	0.0204471
126208.0	0.0203947
126336.0	0.0203927
126464.0	0.0204427
126592.0	0.0204122
126720.0	0.0203973
126848.0	0.0204059
126976.0	0.0204016
127104.0	0.0204359
127232.0	0.0204127
127360.0	0.0204131
127488.0	0.0204173
127616.0	0.0204068
127744.0	0.0203772
127872.0	0.0203991
128000.0	0.0204118
128128.0	0.0204488
128256.0	0.0204078
128384.0	0.0204371
128512.0	0.0204095
128640.0	0.0203686
128768.0	0.0204118
128896.0	0.0204135
129024.0	0.0204339
129152.0	0.0204083
129280.0	0.0204053
129408.0	0.0204175
129536.0	0.0204082
129664.0	0.0204143
