########

	Model: LSTM with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

53632.0	0.0436036
53760.0	0.0507654
53888.0	0.0444289
54016.0	0.0414718
54144.0	0.040522
54272.0	0.0394684
54400.0	0.0386174
54528.0	0.0378551
54656.0	0.037126
54784.0	0.0365525
54912.0	0.0360584
55040.0	0.035528
55168.0	0.0350921
55296.0	0.0345825
55424.0	0.0341465
55552.0	0.0337371
55680.0	0.0334662
55808.0	0.0331621
55936.0	0.0327791
56064.0	0.032447
56192.0	0.0322062
56320.0	0.0319612
56448.0	0.0318036
56576.0	0.0314816
56704.0	0.0311442
56832.0	0.0309452
56960.0	0.0308304
57088.0	0.0305335
57216.0	0.0303574
57344.0	0.0301625
57472.0	0.0298888
57600.0	0.0296245
57728.0	0.0293801
57856.0	0.0293046
57984.0	0.0290277
58112.0	0.028885
58240.0	0.0287038
58368.0	0.0287517
58496.0	0.0349187
58624.0	0.0384298
58752.0	0.0304888
58880.0	0.0592184
59008.0	0.0680878
59136.0	0.0799675
59264.0	0.0695154
59392.0	0.0691013
59520.0	0.052264
59648.0	0.0460512
59776.0	0.0611109
59904.0	0.0482882
60032.0	0.0460988
60160.0	0.0444161
60288.0	0.0427521
60416.0	0.0415985
60544.0	0.0406834
60672.0	0.0399737
60800.0	0.0391812
60928.0	0.0387103
61056.0	0.0383036
61184.0	0.0375178
61312.0	0.0370499
61440.0	0.0366844
61568.0	0.0362281
61696.0	0.0357597
61824.0	0.035341
61952.0	0.0349213
62080.0	0.0346354
62208.0	0.0341844
62336.0	0.0337901
62464.0	0.0333939
62592.0	0.0331055
62720.0	0.0327873
62848.0	0.0323421
62976.0	0.0321189
63104.0	0.0316926
63232.0	0.0314084
63360.0	0.0311857
63488.0	0.0307911
63616.0	0.0306108
63744.0	0.030284
63872.0	0.0301155
64000.0	0.0297329
64128.0	0.02967
64256.0	0.0294705
64384.0	0.0291803
64512.0	0.0290164
64640.0	0.0288515
64768.0	0.0285101
64896.0	0.0284201
65024.0	0.0281646
65152.0	0.0280445
65280.0	0.0279468
65408.0	0.0277071
65536.0	0.0275051
65664.0	0.0273105
65792.0	0.0272245
65920.0	0.0270587
66048.0	0.0267949
66176.0	0.0267182
66304.0	0.0265747
66432.0	0.0264637
66560.0	0.0262646
66688.0	0.0261536
66816.0	0.0259516
66944.0	0.0257831
67072.0	0.0257054
67200.0	0.0255355
67328.0	0.0255457
67456.0	0.0253512
67584.0	0.0251707
67712.0	0.0250134
67840.0	0.0250059
67968.0	0.0248144
68096.0	0.0247562
68224.0	0.0246713
68352.0	0.0245793
68480.0	0.0257015
68608.0	0.0266228
68736.0	0.030782
68864.0	0.0757446
68992.0	0.0516283
69120.0	0.0269803
69248.0	0.0265731
69376.0	0.0263491
69504.0	0.0262193
69632.0	0.0259412
69760.0	0.0259375
69888.0	0.0258697
70016.0	0.0257696
70144.0	0.0256359
70272.0	0.0255618
70400.0	0.0254293
70528.0	0.0253443
70656.0	0.0252922
70784.0	0.0252089
70912.0	0.0250572
71040.0	0.0249677
71168.0	0.0247857
71296.0	0.0413498
71424.0	0.0403395
71552.0	0.0948464
71680.0	0.0884267
71808.0	0.0822031
71936.0	0.0752798
72064.0	0.0674611
72192.0	0.058661
72320.0	0.0471705
72448.0	0.0350401
72576.0	0.0309665
72704.0	0.0294852
72832.0	0.0287916
72960.0	0.0281466
73088.0	0.0277831
73216.0	0.0275037
73344.0	0.0273633
73472.0	0.0271988
73600.0	0.0270552
73728.0	0.0269325
73856.0	0.0268695
73984.0	0.0265804
74112.0	0.0264542
74240.0	0.0263459
74368.0	0.0261882
74496.0	0.0260884
74624.0	0.0259165
74752.0	0.025825
74880.0	0.0256177
75008.0	0.0254943
75136.0	0.0253038
75264.0	0.0251297
75392.0	0.025035
75520.0	0.0249622
75648.0	0.0248048
75776.0	0.0246269
75904.0	0.0244682
76032.0	0.0243075
76160.0	0.0241968
76288.0	0.0240693
76416.0	0.0240689
76544.0	0.024546
76672.0	0.0557256
76800.0	0.0251336
76928.0	0.0246821
77056.0	0.0243813
77184.0	0.0242512
77312.0	0.0239157
77440.0	0.0237707
77568.0	0.0236066
77696.0	0.0234216
77824.0	0.0233491
77952.0	0.0232578
78080.0	0.0232133
78208.0	0.0230619
78336.0	0.0230485
78464.0	0.0229418
78592.0	0.022906
78720.0	0.0228235
78848.0	0.0227601
78976.0	0.0227576
79104.0	0.0226469
79232.0	0.0225914
79360.0	0.0224873
79488.0	0.0225113
79616.0	0.0224527
79744.0	0.0223833
79872.0	0.0223363
80000.0	0.022364
80128.0	0.0223284
80256.0	0.0222898
80384.0	0.0222368
80512.0	0.0222267
80640.0	0.0220852
80768.0	0.0221104
80896.0	0.0220786
81024.0	0.0220241
81152.0	0.0220179
81280.0	0.021961
81408.0	0.0218961
81536.0	0.0218744
81664.0	0.0217839
81792.0	0.0217624
81920.0	0.0217101
82048.0	0.0216771
82176.0	0.0217101
82304.0	0.0221601
82432.0	0.664604
82560.0	0.0321241
82688.0	0.0301372
82816.0	0.029065
82944.0	0.0282126
83072.0	0.027637
83200.0	0.0271339
83328.0	0.0265929
83456.0	0.026358
83584.0	0.0258547
83712.0	0.0256294
83840.0	0.0253317
83968.0	0.0252253
84096.0	0.024877
84224.0	0.024592
84352.0	0.0244775
84480.0	0.0242104
84608.0	0.024114
84736.0	0.0238795
84864.0	0.0238205
84992.0	0.0235763
85120.0	0.0235667
85248.0	0.0233582
85376.0	0.0232444
85504.0	0.02317
85632.0	0.0230386
85760.0	0.022856
85888.0	0.0227934
86016.0	0.0231505
86144.0	0.0226614
86272.0	0.0226346
86400.0	0.0225022
86528.0	0.0224573
86656.0	0.0223761
86784.0	0.0223041
86912.0	0.0222629
87040.0	0.0223106
87168.0	0.0222099
87296.0	0.0222029
87424.0	0.0220866
87552.0	0.022111
87680.0	0.0221103
87808.0	0.022065
87936.0	0.0220049
88064.0	0.0220028
88192.0	0.0219179
88320.0	0.0219071
88448.0	0.0219222
88576.0	0.0218907
88704.0	0.0218201
88832.0	0.0218323
88960.0	0.0218248
89088.0	0.0217803
89216.0	0.0217489
89344.0	0.0217234
89472.0	0.0217154
89600.0	0.0216397
89728.0	0.0216225
89856.0	0.0216257
89984.0	0.0216366
90112.0	0.0216017
90240.0	0.0215523
90368.0	0.0215012
90496.0	0.0214863
90624.0	0.0214627
90752.0	0.0214392
90880.0	0.0215081
91008.0	0.0228083
91136.0	0.0216624
91264.0	0.0248291
91392.0	0.0399877
91520.0	0.0258525
91648.0	0.0263802
91776.0	0.0231513
91904.0	0.0245309
92032.0	0.0219167
92160.0	0.0217699
92288.0	0.0216998
92416.0	0.0216405
92544.0	0.0215465
92672.0	0.0215466
92800.0	0.0214926
92928.0	0.0214452
93056.0	0.0214172
93184.0	0.0214216
93312.0	0.0216315
93440.0	0.0214309
93568.0	0.0213979
93696.0	0.0214079
93824.0	0.0213896
93952.0	0.0213757
94080.0	0.0213219
94208.0	0.0213297
94336.0	0.0213256
94464.0	0.0212988
94592.0	0.0212805
94720.0	0.0213066
94848.0	0.0212609
94976.0	0.0212476
95104.0	0.021209
95232.0	0.0212017
95360.0	0.0211966
95488.0	0.0211827
95616.0	0.0211776
95744.0	0.0211823
95872.0	0.0211535
96000.0	0.0211496
96128.0	0.0210968
96256.0	0.0210972
96384.0	0.0210817
96512.0	0.0210589
96640.0	0.0210728
96768.0	0.0210763
96896.0	0.0210333
97024.0	0.0210369
97152.0	0.0210126
97280.0	0.021027
97408.0	0.0209888
97536.0	0.0210182
97664.0	0.0209924
97792.0	0.0209394
97920.0	0.0209326
98048.0	0.0209216
98176.0	0.0209367
98304.0	0.0209191
98432.0	0.0208887
98560.0	0.0208717
98688.0	0.0208805
98816.0	0.0208705
98944.0	0.0208673
99072.0	0.0208079
99200.0	0.0208309
99328.0	0.0208553
99456.0	0.0208625
99584.0	0.0209465
99712.0	0.0211518
99840.0	0.0223675
99968.0	0.147244
100096.0	0.0213555
100224.0	0.0213276
100352.0	0.0213319
100480.0	0.0213251
100608.0	0.0213045
100736.0	0.0212684
100864.0	0.0212356
100992.0	0.0212148
101120.0	0.0212455
101248.0	0.0211933
101376.0	0.021154
101504.0	0.0212118
101632.0	0.0211129
101760.0	0.0210952
101888.0	0.0211545
102016.0	0.0211082
102144.0	0.0210675
102272.0	0.021106
102400.0	0.0210912
102528.0	0.0210457
102656.0	0.0210664
102784.0	0.0210356
102912.0	0.0210531
103040.0	0.0210382
103168.0	0.0210232
103296.0	0.0210251
103424.0	0.0210076
103552.0	0.0210134
103680.0	0.0209792
103808.0	0.0209588
103936.0	0.0209771
104064.0	0.0209748
104192.0	0.0209634
104320.0	0.0209457
104448.0	0.0209296
104576.0	0.0209329
104704.0	0.0209302
104832.0	0.0209211
104960.0	0.0209226
105088.0	0.0209
105216.0	0.020893
105344.0	0.0208647
105472.0	0.0209026
105600.0	0.0208623
105728.0	0.0208767
105856.0	0.0208787
105984.0	0.0208689
106112.0	0.0208608
106240.0	0.0208658
106368.0	0.0211958
106496.0	0.0220038
106624.0	0.0345965
106752.0	0.0335298
106880.0	0.0233983
107008.0	0.0229402
107136.0	0.0227503
107264.0	0.0239435
107392.0	0.525252
107520.0	0.0219403
107648.0	0.021949
107776.0	0.0218872
107904.0	0.0218437
108032.0	0.0218132
108160.0	0.0217861
108288.0	0.0217934
108416.0	0.0217335
108544.0	0.0217567
108672.0	0.0217336
108800.0	0.0217024
108928.0	0.0216808
109056.0	0.0216525
109184.0	0.021642
109312.0	0.0216117
109440.0	0.0216312
109568.0	0.0215974
109696.0	0.0216039
109824.0	0.0215312
109952.0	0.0215542
110080.0	0.0215245
110208.0	0.0215038
110336.0	0.0214825
110464.0	0.0214774
110592.0	0.0214568
110720.0	0.0214455
110848.0	0.0214033
110976.0	0.0214075
111104.0	0.0213991
111232.0	0.0213533
111360.0	0.0213691
111488.0	0.0213577
111616.0	0.0213197
111744.0	0.0213078
111872.0	0.021319
112000.0	0.0212621
112128.0	0.0212679
112256.0	0.0212658
112384.0	0.0212485
112512.0	0.0212296
112640.0	0.0211932
112768.0	0.0211884
112896.0	0.0211861
113024.0	0.0211754
113152.0	0.0211546
113280.0	0.021132
113408.0	0.0211343
113536.0	0.0210977
113664.0	0.0211067
113792.0	0.0210899
113920.0	0.0210874
114048.0	0.0210623
114176.0	0.0210313
114304.0	0.0210391
114432.0	0.0210342
114560.0	0.0210181
114688.0	0.0209897
114816.0	0.0210167
114944.0	0.0209914
115072.0	0.0209813
115200.0	0.0209631
115328.0	0.0209526
115456.0	0.0209489
115584.0	0.0209418
115712.0	0.0209359
115840.0	0.0209113
115968.0	0.0208934
116096.0	0.0208976
116224.0	0.0208713
116352.0	0.0208614
116480.0	0.0208706
116608.0	0.0208223
116736.0	0.0208518
116864.0	0.0208404
116992.0	0.0208106
117120.0	0.0208106
117248.0	0.0208198
117376.0	0.0208143
117504.0	0.0208149
117632.0	0.0207772
117760.0	0.0208079
117888.0	0.0207781
118016.0	0.0207778
118144.0	0.0207483
118272.0	0.0207459
118400.0	0.0207357
118528.0	0.0207481
118656.0	0.0207244
118784.0	0.0207005
118912.0	0.0207224
119040.0	0.020688
119168.0	0.020699
119296.0	0.020676
119424.0	0.020671
119552.0	0.0206855
119680.0	0.0206716
119808.0	0.0206615
119936.0	0.0206661
120064.0	0.0206511
120192.0	0.0206193
120320.0	0.0206446
120448.0	0.0206236
120576.0	0.0206323
120704.0	0.0206086
120832.0	0.020595
120960.0	0.0206077
121088.0	0.0205912
121216.0	0.0205565
121344.0	0.0205917
121472.0	0.0205857
121600.0	0.020577
121728.0	0.0205568
121856.0	0.0205734
121984.0	0.0205611
122112.0	0.0205414
122240.0	0.0205543
122368.0	0.0205524
122496.0	0.0205536
122624.0	0.0205456
122752.0	0.0205275
122880.0	0.0205242
123008.0	0.0205861
123136.0	0.0206049
123264.0	0.0206365
123392.0	0.0206181
123520.0	0.0205477
123648.0	0.0205187
123776.0	0.0205212
123904.0	0.0205008
124032.0	0.0205091
124160.0	0.0204964
124288.0	0.0205036
124416.0	0.0204887
124544.0	0.0204873
124672.0	0.0205055
124800.0	0.0204805
124928.0	0.0204727
125056.0	0.0204855
125184.0	0.0204778
125312.0	0.0205145
125440.0	0.0207496
125568.0	0.0209621
125696.0	0.0210051
125824.0	0.316274
125952.0	0.0206461
126080.0	0.0206457
126208.0	0.020584
126336.0	0.0206015
126464.0	0.0205956
126592.0	0.0205997
126720.0	0.0206087
126848.0	0.0205981
126976.0	0.0205746
127104.0	0.0205782
127232.0	0.0205748
127360.0	0.0205875
127488.0	0.0205923
127616.0	0.0205894
127744.0	0.0205846
127872.0	0.0205425
128000.0	0.0205643
128128.0	0.020552
128256.0	0.0205399
128384.0	0.020528
128512.0	0.0205593
128640.0	0.0205415
128768.0	0.0205316
128896.0	0.0205552
129024.0	0.0205493
129152.0	0.0205399
129280.0	0.0205305
129408.0	0.0205111
129536.0	0.0205134
129664.0	0.0205126
129792.0	0.0205209
129920.0	0.020512
130048.0	0.0205194
130176.0	0.0205214
130304.0	0.0205374
130432.0	0.0205024
130560.0	0.0205084
130688.0	0.0205047
130816.0	0.0205162
130944.0	0.020518
131072.0	0.020522
131200.0	0.0205012
131328.0	0.0205102
131456.0	0.0205117
131584.0	0.0204992
131712.0	0.0204879
131840.0	0.0205041
131968.0	0.0204903
132096.0	0.0204916
132224.0	0.0205048
132352.0	0.020487
132480.0	0.0204763
132608.0	0.0204933
132736.0	0.0205016
132864.0	0.0205145
132992.0	0.0204901
133120.0	0.0204817
133248.0	0.0204955
133376.0	0.0204916
133504.0	0.0204859
133632.0	0.0204865
133760.0	0.0204811
133888.0	0.0204813
134016.0	0.0204831
134144.0	0.0204797
134272.0	0.0204677
134400.0	0.0204674
134528.0	0.0204687
134656.0	0.020477
134784.0	0.0204633
134912.0	0.0204829
135040.0	0.0204648
135168.0	0.0204765
135296.0	0.0204825
135424.0	0.0204801
135552.0	0.0204712
135680.0	0.0204785
135808.0	0.0204686
135936.0	0.020471
136064.0	0.0204726
136192.0	0.0204552
136320.0	0.0204814
136448.0	0.0204617
136576.0	0.0204624
136704.0	0.0204674
136832.0	0.0204595
136960.0	0.0204568
137088.0	0.0204697
137216.0	0.0204697
137344.0	0.0204554
137472.0	0.0204467
137600.0	0.0204612
137728.0	0.0204633
137856.0	0.0204573
137984.0	0.0204598
138112.0	0.0204555
138240.0	0.0204397
138368.0	0.0204515
138496.0	0.0204703
138624.0	0.0204575
138752.0	0.0204553
138880.0	0.0204442
139008.0	0.0204495
139136.0	0.0204627
139264.0	0.0204384
139392.0	0.0204475
139520.0	0.0204432
139648.0	0.0204331
139776.0	0.0204372
139904.0	0.0204369
140032.0	0.0204577
140160.0	0.0204482
140288.0	0.0204344
140416.0	0.0204406
140544.0	0.0204408
140672.0	0.0204425
140800.0	0.0204423
140928.0	0.0204285
141056.0	0.0204456
141184.0	0.0204607
141312.0	0.0204309
141440.0	0.0204255
141568.0	0.020445
141696.0	0.0204198
141824.0	0.0204402
141952.0	0.0204516
142080.0	0.0204245
142208.0	0.0204304
142336.0	0.0204351
142464.0	0.0204309
142592.0	0.0204461
142720.0	0.0204277
142848.0	0.0204222
142976.0	0.0204346
143104.0	0.0204255
143232.0	0.0204189
143360.0	0.0204203
143488.0	0.0204216
143616.0	0.0204305
143744.0	0.0204258
143872.0	0.0204332
144000.0	0.0204341
144128.0	0.0204344
144256.0	0.020442
144384.0	0.0204852
144512.0	0.0206332
144640.0	0.0204569
144768.0	0.0204194
144896.0	0.0204289
145024.0	0.0204402
145152.0	0.0204244
145280.0	0.0204117
145408.0	0.0204173
145536.0	0.0204196
145664.0	0.0204287
145792.0	0.0204173
145920.0	0.0204403
146048.0	0.0204069
146176.0	0.0204156
146304.0	0.0204039
146432.0	0.0204214
146560.0	0.0204314
146688.0	0.0204194
146816.0	0.0204025
146944.0	0.0204323
147072.0	0.0204218
147200.0	0.020399
147328.0	0.0204428
147456.0	0.0204424
147584.0	0.0204142
147712.0	0.0203901
147840.0	0.0204236
147968.0	0.0204056
148096.0	0.0204107
148224.0	0.0204118
148352.0	0.0204406
148480.0	0.0204048
148608.0	0.020404
148736.0	0.0204212
148864.0	0.0204239
148992.0	0.0203923
149120.0	0.0204111
149248.0	0.0204463
149376.0	0.0204324
149504.0	0.0204053
149632.0	0.0203917
149760.0	0.0204124
149888.0	0.0204192
150016.0	0.020411
150144.0	0.020424
150272.0	0.0204034
150400.0	0.0204217
150528.0	0.0204062
150656.0	0.0204103
150784.0	0.0204142
150912.0	0.0204175
151040.0	0.0204228
151168.0	0.0204016
151296.0	0.0204399
151424.0	0.0204104
151552.0	0.020421
151680.0	0.0204231
151808.0	0.0203944
151936.0	0.0204095
152064.0	0.020409
152192.0	0.0204282
152320.0	0.0204138
152448.0	0.0203989
152576.0	0.0203882
152704.0	0.0204408
152832.0	0.0205078
152960.0	0.0835562
153088.0	0.0236346
153216.0	0.0232044
153344.0	0.0228208
153472.0	0.0224309
153600.0	0.0222686
153728.0	0.022003
153856.0	0.0217585
153984.0	0.0215638
154112.0	0.0213351
154240.0	0.0212147
154368.0	0.0210898
154496.0	0.0209632
154624.0	0.0209893
154752.0	0.0208952
154880.0	0.0208374
155008.0	0.0207419
155136.0	0.0206914
155264.0	0.0207195
155392.0	0.0206819
155520.0	0.0206727
155648.0	0.0206244
155776.0	0.0206268
155904.0	0.0205996
156032.0	0.0205437
156160.0	0.0205521
156288.0	0.0205685
156416.0	0.020501
156544.0	0.0204957
156672.0	0.0205232
156800.0	0.0204885
156928.0	0.0204785
157056.0	0.0205133
157184.0	0.0204924
157312.0	0.0204765
157440.0	0.020493
157568.0	0.0204856
157696.0	0.0204759
157824.0	0.0204423
157952.0	0.0204636
158080.0	0.020451
158208.0	0.0204859
158336.0	0.0204624
158464.0	0.0204563
158592.0	0.0204424
158720.0	0.0204416
158848.0	0.0204354
158976.0	0.0204423
159104.0	0.0204222
159232.0	0.0204331
159360.0	0.0204318
159488.0	0.0204518
159616.0	0.0204316
159744.0	0.0204051
159872.0	0.0204282
160000.0	0.020411
160128.0	0.0204367
160256.0	0.0204148
160384.0	0.0204101
160512.0	0.0204248
160640.0	0.0204234
160768.0	0.0204137
160896.0	0.0204059
161024.0	0.0204115
161152.0	0.0204181
161280.0	0.0204219
161408.0	0.0203938
161536.0	0.0204415
161664.0	0.0204092
161792.0	0.0204059
161920.0	0.0204165
162048.0	0.0204138
162176.0	0.0204197
162304.0	0.0204186
162432.0	0.0204123
162560.0	0.0204137
162688.0	0.0204093
162816.0	0.0204019
162944.0	0.0203935
163072.0	0.0203853
163200.0	0.0204273
163328.0	0.0204163
163456.0	0.0204053
163584.0	0.0204177
