########

	Model: LSTM with 7323 parameters on

#Task:
# Copying Task with T=200

########

98816	0.032023
98944	0.031969
99072	0.032038
99200	0.032014
99328	0.031992
99456	0.031963
99584	0.031961
99712	0.031980
99840	0.031970
99968	0.031969
100096	0.031957
100224	0.031899
100352	0.031979
100480	0.031945
100608	0.031817
100736	0.031850
100864	0.031980
100992	0.031876
101120	0.031894
101248	0.031862
101376	0.031911
101504	0.031823
101632	0.031869
101760	0.031934
101888	0.032037
102016	0.031891
102144	0.031885
102272	0.031851
102400	0.031890
102528	0.031869
102656	0.031882
102784	0.031906
102912	0.031640
103040	0.031836
103168	0.031908
103296	0.031764
103424	0.031812
103552	0.031972
103680	0.032042
103808	0.032165
103936	0.032457
104064	0.031949
104192	0.031796
104320	0.031772
104448	0.031794
104576	0.031680
104704	0.031788
104832	0.031769
104960	0.031741
105088	0.031738
105216	0.031748
105344	0.031740
105472	0.031739
105600	0.031755
105728	0.031939
105856	0.031860
105984	0.031757
106112	0.031719
106240	0.031746
106368	0.031735
106496	0.031612
106624	0.031786
106752	0.031710
106880	0.031843
107008	0.032093
107136	0.031787
107264	0.031718
107392	0.031665
107520	0.031683
107648	0.031664
107776	0.031691
107904	0.031662
108032	0.031670
108160	0.031650
108288	0.031726
108416	0.031688
108544	0.352657
108672	0.037108
108800	0.033490
108928	0.033263
109056	0.033015
109184	0.032902
109312	0.032500
109440	0.032576
109568	0.032242
109696	0.032268
109824	0.032204
109952	0.032208
110080	0.032194
110208	0.032127
110336	0.032094
110464	0.031913
110592	0.031960
110720	0.032032
110848	0.031901
110976	0.031918
111104	0.032017
111232	0.031885
111360	0.031770
111488	0.031847
111616	0.031791
111744	0.031771
111872	0.031789
112000	0.031826
112128	0.031768
112256	0.031768
112384	0.031739
112512	0.031684
112640	0.031727
112768	0.031713
112896	0.031674
113024	0.031657
113152	0.031686
113280	0.031687
113408	0.031682
113536	0.031728
113664	0.031632
113792	0.031703
113920	0.031709
114048	0.031718
114176	0.031704
114304	0.031749
114432	0.031708
114560	0.031664
114688	0.031687
114816	0.031680
114944	0.031725
115072	0.031741
115200	0.031668
115328	0.031702
115456	0.031657
115584	0.031692
115712	0.031674
115840	0.031682
115968	0.031654
116096	0.031592
116224	0.031719
116352	0.031657
116480	0.031677
116608	0.031659
116736	0.031661
116864	0.031623
116992	0.031655
117120	0.031683
117248	0.031658
117376	0.031661
117504	0.031683
117632	0.031675
117760	0.031704
117888	0.031647
118016	0.031649
118144	0.031605
118272	0.031667
118400	0.031633
118528	0.031643
118656	0.031643
118784	0.031607
118912	0.031655
119040	0.031636
119168	0.031620
119296	0.031438
119424	0.031602
119552	0.031588
119680	0.031652
119808	0.031616
119936	0.031581
120064	0.031657
120192	0.031615
120320	0.031641
120448	0.031621
120576	0.031651
120704	0.031624
120832	0.031499
120960	0.031626
121088	0.031515
121216	0.031643
121344	0.031610
121472	0.031631
121600	0.031603
121728	0.031627
121856	0.031596
121984	0.031638
122112	0.031623
122240	0.031562
122368	0.031595
122496	0.031588
122624	0.031746
122752	0.031602
122880	0.031665
123008	0.031697
123136	0.031758
123264	0.031669
123392	0.031685
123520	0.031618
123648	0.031575
123776	0.031597
123904	0.031543
124032	0.031507
124160	0.031674
124288	0.031586
124416	0.031604
124544	0.031602
124672	0.031554
124800	0.031414
124928	0.031523
125056	0.031605
125184	0.031537
125312	0.031588
125440	0.031602
125568	0.031602
125696	0.031481
125824	0.031673
125952	0.031658
126080	0.031628
126208	0.031653
126336	0.031618
126464	0.031604
126592	0.031592
126720	0.031662
126848	0.031675
126976	0.031623
127104	0.031619
127232	0.031582
127360	0.031563
127488	0.031534
127616	0.031574
127744	0.031524
127872	0.031610
128000	0.031506
128128	0.031545
128256	0.031594
128384	0.031594
128512	0.031595
128640	0.031554
128768	0.031643
128896	0.031541
129024	0.031673
129152	0.031559
129280	0.031573
129408	0.031535
129536	0.031702
129664	0.031606
129792	0.031626
129920	0.031558
130048	0.031520
130176	0.031532
130304	0.031679
130432	0.031523
130560	0.031555
130688	0.031566
130816	0.031550
130944	0.031587
131072	0.031539
131200	0.031491
131328	0.031446
131456	0.031688
131584	0.031737
131712	0.031598
131840	0.031585
131968	0.031689
132096	0.031592
132224	0.031553
132352	0.031544
132480	0.031558
132608	0.031505
132736	0.031526
132864	0.031532
132992	0.031560
133120	0.031532
133248	0.031559
133376	0.031551
133504	0.031532
133632	0.031553
133760	0.031565
133888	0.031649
134016	0.031537
134144	0.031554
134272	0.031555
134400	0.031590
134528	0.031456
134656	0.031614
134784	0.031621
134912	0.031440
135040	0.031555
135168	0.031514
135296	0.031553
135424	0.413063
135552	0.206274
135680	0.031758
135808	0.031790
135936	0.031869
136064	0.031704
136192	0.031777
136320	0.031804
136448	0.031796
136576	0.031830
136704	0.031760
136832	0.031789
136960	0.031779
137088	0.031752
137216	0.031793
137344	0.031826
137472	0.031715
137600	0.031739
137728	0.031691
137856	0.031711
137984	0.031705
138112	0.031807
138240	0.031673
138368	0.031716
138496	0.031688
138624	0.031781
138752	0.031749
138880	0.031760
139008	0.031690
139136	0.031695
139264	0.031681
139392	0.031750
139520	0.031640
139648	0.031729
139776	0.031604
139904	0.031670
140032	0.031656
140160	0.031643
140288	0.031619
140416	0.031698
140544	0.031670
140672	0.031699
140800	0.031700
140928	0.031614
141056	0.031651
141184	0.031652
141312	0.031684
141440	0.031685
141568	0.031678
141696	0.031609
141824	0.031669
141952	0.031597
142080	0.031595
142208	0.031564
142336	0.031597
142464	0.031601
142592	0.031578
142720	0.031656
142848	0.031586
142976	0.031587
